0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
DB04571,"[-4.9597962439570535, -1.037448476461246, -0.007255056776360635]","[-3.5199680653571113, -0.6690304943936205, -0.04194611560339459]","[-3.017580824555081, 0.49599164769087034, -0.6201863639808458]","[-1.6616259365446742, 0.37820089551154146, -0.3989062747538375]","[-0.6270445703347576, 1.2391916674501025, -0.7494194605852461]","[0.6878144482805197, 0.8702004207163099, -0.3956457668996665]","[0.9273282804825079, -0.35406993926406993, 0.30076653771782436]","[2.1708160633252938, -0.6964670925115959, 0.6316602468004715]","[3.2251201040435356, 0.0597706267579147, 0.34058529399768533]","[4.376295767255816, -0.31741168488914717, 0.6797494624013873]","[3.0665639172880934, 1.2691259887506445, -0.3382992110015483]","[1.7886446623248857, 1.6809696288980678, -0.7111096060607837]","[1.6344352958924477, 2.9762021170814945, -1.436501738531072]","[-0.1521817138632514, -1.1991670195109594, 0.6374095738654865]","[0.06128755616323465, -2.4844854081035326, 1.3640417801024554]","[-1.4347312366811882, -0.7946636943496191, 0.26801509178781835]","[-2.565377503763424, -1.4169091833731522, 0.47704160751957186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00460,"[0.6389664926005536, 7.184558946271115, 2.1643792149044967]","[1.6421543695666194, 6.602832500200746, 1.3458952437136746]","[1.9987450664462976, 5.259177764857179, 1.4625223428092093]","[1.4344817116823658, 4.510904150186514, 2.305648843972864]","[3.0401573951079186, 4.692766087870625, 0.5585103020815434]","[2.484430844602051, 4.46850048412072, -0.841747486913098]","[1.5472787572490039, 3.2997579001887534, -0.8716321993687273]","[1.8814127706929644, 1.9583175166614404, -0.8558302952664172]","[0.7744896312230792, 1.1804960390338608, -0.8418161073658027]","[-0.26622963378639714, 2.0430349304770865, -0.8461329495386554]","[-1.6087819376508052, 1.677202849387749, -0.8375088560774083]","[-2.11973460453835, 0.38071617126922946, -0.8071556600375573]","[-1.3593792909948437, -0.7437728315621248, -0.7988016374092274]","[-2.185617393972208, -1.8103988218412181, -0.7478277920391252]","[-1.7804277826157524, -3.1415948938448874, -0.6948978112140343]","[-0.47012336057077836, -3.611871224060774, -0.7041098294937992]","[0.6323958618902907, -2.8329515908706377, -0.7456194822361668]","[1.6776995122217906, -3.691144347335526, -0.7279889907054096]","[3.018061793441345, -3.3106983159798706, -0.7490858958988604]","[3.4915061845948414, -2.0035053601384636, -0.7886126689343367]","[2.7136809303972003, -0.8996619914873673, -0.809472775502979]","[3.5686344257187637, 0.14550876223694045, -0.8340046438004637]","[3.190173549703119, 1.4833718011146892, -0.8535372640753008]","[4.953393860482994, -0.31861879452099817, -0.8301180800076208]","[6.18986674926116, 0.5258718077379136, -0.801475861941068]","[6.388762920442363, 1.161523241564822, 0.5678291260484453]","[6.857874907925498, 0.1541203828472378, 1.5615773792276375]","[8.191234617052102, -0.23237229918088168, 1.5836696107828756]","[6.039592726058656, -0.36752628045576763, 2.3625836474815585]","[4.904570634763028, -1.6393451581388305, -0.7987611679339237]","[6.07114914044625, -2.568335542559216, -0.755284057568603]","[1.2489062397111954, -5.006232253516641, -0.6770390876408657]","[2.1265015653660457, -6.192284945054516, -0.6434237495271603]","[1.6640147173014264, -7.434209222967753, -0.5931307290294507]","[-0.1326535378521623, -4.951350957602425, -0.6603794016785978]","[-1.085508521544588, -6.100487726329583, -0.6035208182320255]","[-3.571132616039042, -1.3828730594494416, -0.6729118260341038]","[-4.595416399493949, -2.081633780364218, -0.17533563808696614]","[-5.808143042187927, -1.3513998599664288, 0.24788569355361706]","[-5.779801944252682, -0.017197280312756864, 0.4320212798041355]","[-4.473006228099814, 0.7479016552354497, 0.2644316111420606]","[-3.7736360402457816, 0.8838406567302405, 1.5867506708649792]","[-3.5861084728445567, 2.0338091542666947, 2.067379138390604]","[-3.334447909640629, -0.2532419686573931, 2.268110797639746]","[-2.649291016834189, -0.1659653280710142, 3.5076919981388697]","[-3.598427629814802, 0.09619723893366276, -0.8393710863892483]","[-4.155258666438431, 0.4461981571412874, -2.2133879780015575]","[-6.999503954325933, 0.6912437465688918, 0.8528239728634912]","[-6.966990013566427, 1.9388991647819975, 1.0383940269155687]","[-8.188118266735607, -0.018418445880212846, 1.0429471701730373]","[-9.388097969090676, 0.6227253778225721, 1.4480237346235891]","[0.17384847228752856, 3.352566572698943, -0.8613373713690171]","[-0.6681496150882384, 4.5850492199377175, -0.8565077312042357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00855,"[-2.2101403060358518, 1.7167592857116576, -0.6459121883965568]","[-2.6742664673910617, 0.3962069077341635, -0.2511205455047435]","[-1.571610746935479, -0.4188058651163217, 0.3596050236662908]","[-1.8191442875344448, -1.5508679220339097, 0.7426348180942989]","[-0.18737823599181946, 0.12819180835598218, 0.5325629392872663]","[0.7934394442152418, -0.6346237382826091, -0.33959520402619026]","[2.1614238154208025, -0.07717970956571962, -0.16583803375373346]","[2.5651075785637083, 1.0193730045790277, -0.9157849582561227]","[2.942569205672183, -0.5790537713885626, 0.6834481481934753]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09536,"[-1.7473846043638142, -0.16031929265819567, -0.0]","[-0.1706798901819812, 0.28133867737519935, -0.0]","[1.9180644945457954, -0.12101938471700449, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01878,"[0.11623819540734431, -2.24434219304906, 0.6260408129981033]","[0.05303284630869689, -1.0239677431348029, 0.3097030598172499]","[1.3237378467482177, -0.28128646131093477, 0.11289894210684967]","[2.5231928546702624, -0.8199304628300097, 0.6055573983006264]","[3.7365059298178904, -0.15339097185335396, 0.4113757054352812]","[3.7645392259671118, 1.0570633446675808, -0.2849370768552834]","[2.5801550850127857, 1.5986665761457384, -0.7895450765116554]","[1.3678863790210594, 0.9307730154889061, -0.5946206341045833]","[-1.2881448765500314, -0.4059586065021074, 0.15379733978016807]","[-2.4170714738769767, -1.229099811594598, 0.014140531563091597]","[-3.693706604799027, -0.673000628371799, -0.1086037444050899]","[-3.8562671132574686, 0.7140400800467236, -0.08560698607816332]","[-2.742922046261449, 1.5440857441722837, 0.06344157633281314]","[-1.467176248208419, 0.9863481181254561, 0.18621904810724937]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00140,"[-3.95037372845635, -3.4325877463693204, -1.3892574779298588]","[-2.900600626204644, -2.4285005993719744, -1.0518726234470788]","[-1.5329455812467403, -2.715879403341718, -1.2038991064674556]","[-1.064740758806945, -4.038312450007002, -1.7096845357036912]","[-0.5796304018802346, -1.7489959963835753, -0.8767289880808538]","[-0.9638595646115035, -0.4860961609585162, -0.3943782964957985]","[-0.02609287949505305, 0.4655398128856598, -0.07105061954715636]","[1.4055822744535384, 0.18305870121723095, -0.20527641706353186]","[1.9204161407936378, -0.5765859185889892, 1.015493985401039]","[1.9713732533164383, 0.2768442634002752, 2.1181181813946353]","[3.3008876116398573, -1.1890417879108626, 0.7782597852364597]","[4.203729302705849, -0.25380355829063367, 0.26176827326496926]","[3.2513378757279283, -2.469009938148237, -0.06326017872369073]","[4.457893015152147, -3.162812560419445, 0.042334432387776524]","[2.8963093270483125, -2.23959045850279, -1.5316117318146267]","[3.937836571640471, -1.5967615228302046, -2.2036358281652975]","[-0.4291056670961438, 1.6867588535108289, 0.3879739810743507]","[0.46065726832857234, 2.661455853607594, 0.7121432540398751]","[0.03815074411595468, 3.8710758405331225, 1.1690193333854249]","[0.8832480145281294, 4.755292572381418, 1.463035608539196]","[-1.2910571060706664, 4.134494595972554, 1.3114816510291127]","[-2.2467764831492207, 3.216514231726778, 1.0082243677172924]","[-3.463464835001557, 3.5068913463455824, 1.1557603758591841]","[-1.8669136802623678, 1.9622392596379705, 0.536028551670743]","[-2.764137256478324, 1.0016781026817656, 0.21192194925381835]","[-2.3492025458611945, -0.20668350320184325, -0.24703008599251616]","[-3.2985202848301873, -1.1771818295754881, -0.5755007336931504]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00821,"[4.034005652855044, -1.8858131895071488, 0.3487090211654344]","[3.5844929666614487, -0.4905016661338379, 0.7530991231597303]","[4.315720261137268, 0.5648962621949304, -0.015136720480300896]","[4.9706534778947615, 1.579607956666175, 0.6691342858544939]","[4.326226149922086, 0.5538301424093062, -1.2750897653644473]","[2.0987047890702586, -0.3326965339905778, 0.6435902627179979]","[1.4316602704406398, -0.5430144121504193, -0.5841539487020379]","[0.05029847617751741, -0.37057974155378076, -0.6164697983736623]","[-0.6492587464018575, -0.003640427753862827, 0.5138183404269823]","[-0.026658428629124275, 0.21451465268838582, 1.7392129384959536]","[1.3678516086741133, 0.04537897513181022, 1.792801662560334]","[-1.9608258578738114, 0.07556723493505993, 0.13319365613388473]","[-1.9851220276557457, -0.24774687632536008, -1.2077426602643955]","[-0.7534552238285565, -0.5274949303446657, -1.6940774164815606]","[-3.180240366404896, -0.26514107943430715, -1.9234823420326774]","[-4.362946163950613, 0.05820620912099412, -1.2331489106914515]","[-4.330408817339464, 0.38831628624092585, 0.13979549745570835]","[-5.817472877514699, 0.7862756307507915, 0.9720470773503822]","[-3.113225143234867, 0.4000355070555974, 0.8438996970693375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00390,"[-2.5335724911069395, 2.105122936171007, 0.23296967311675312]","[-2.8665257581692587, 1.480146303898948, -1.1135071034036639]","[-4.36336380579306, 1.1705655684121754, -1.1613165695188141]","[-4.922305161082951, 0.5627978260166611, 0.15314277491267347]","[-3.813695684885302, 0.055047932479970633, 1.101880689063256]","[-4.4000538190194245, -0.6039463584959104, 2.349579116429983]","[-5.280069916999563, -1.767382405712613, 1.938510456804664]","[-5.700688764569454, -2.463855840956447, 3.0716238272193865]","[-6.482338443194493, -1.3135812271359566, 1.0826425839726959]","[-7.469264436274898, -0.526958100311321, 1.9603701198964762]","[-7.073568451798732, -2.6005959391077407, 0.467927004550066]","[-6.478347930726668, -2.7423079035876374, -0.9385763865377508]","[-5.564309100234756, -1.5463387199216332, -1.1444168842106481]","[-6.024154807114212, -0.48638576436795694, -0.1484188355357167]","[-7.119977092563596, 0.18737802899956202, -0.7065492672017321]","[-8.576484021911774, -2.6945543330821433, 0.4252782398856474]","[-9.368335432152184, -1.926395684480842, -0.3152728264252867]","[-10.707729897803162, -2.407894564048176, -0.053253376247115174]","[-11.760492858779951, -1.9378183943047071, -0.566025583563607]","[-10.691550382071897, -3.459612137831588, 0.8394500977289144]","[-9.347761538252355, -3.7214417150353474, 1.2027940426234343]","[-2.722953573998419, 1.1181585239887768, 1.422434559107051]","[-3.1058577991972602, 1.9509472010185973, 2.644497652777902]","[-1.4385154407522538, 0.32689823513910765, 1.7235366328497288]","[-0.19676715626568472, 1.2029877157048694, 1.8081300211050588]","[-0.01875354089801492, 1.9313218675136807, 0.48454367768710077]","[-1.2007725626322152, 2.860243655048066, 0.2044683390024927]","[1.2401788179059248, 2.5631159790922093, 0.3690852350521114]","[1.3190042059848235, 3.6415048327065445, 1.276419264072417]","[2.3360935229541195, 3.3612423136734075, 2.394921024907294]","[3.718731683069009, 3.9465569463595083, 2.095962898948403]","[3.8327670068831945, 5.211979109717383, 2.6743221359574205]","[3.96808599108469, 4.033158787940734, 0.5917309111911728]","[4.067599148431126, 2.739107921003944, 0.06339700265075363]","[5.423893017731748, 2.554135919373008, -0.23396996474650084]","[6.085815456947028, 1.6026373113394434, 0.7634867198860307]","[5.532488374799641, 0.2004104309719395, 0.5722967761144165]","[6.17849765696344, -0.6904130129406921, 1.4302984725779364]","[5.701026933588523, -0.23301546380893662, -0.8836917447628714]","[7.052313698252231, -0.4466382267068318, -1.1883502014077632]","[7.144963436566182, -1.8123600846945862, -1.4728345529779578]","[7.809695006221293, -2.019588028927658, -2.8406929266567746]","[8.672721174556148, -3.287547291449586, -2.8428611412221505]","[8.885819062709096, -3.7372886542263193, -4.148320180797578]","[8.091865856487717, -4.400854408304056, -1.9508859924637907]","[7.022945464188151, -5.034268799324445, -2.591925786106249]","[7.604875114590083, -3.837485121193925, -0.600366736593745]","[8.259862887855498, -4.599422573649101, 0.534511279325588]","[7.881067445582364, -2.4597214440731996, -0.46436222110989345]","[5.12456440550391, 0.8326589351575179, -1.8258984055320178]","[3.6057540516531774, 0.7670049789819438, -1.9350780098952158]","[5.610844018866452, 2.1484510016032496, -1.582579407930664]","[2.8277442819251033, 4.82960256225797, -0.08932648158147836]","[2.645211656905339, 4.514604520759293, -1.5678318511685823]","[1.5837804900433503, 4.859884852346326, 0.6005507177071594]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01229,"[-2.4877153349450687, 0.06077116517853643, -0.6888236062728996]","[-2.6172047580188806, -1.4865019146584837, -0.5457788545762056]","[-3.4767138706488905, -1.8518990567163023, 0.5282832999337403]","[-4.778577422845305, -2.307261164297739, 0.31061146833600833]","[-5.222800862011638, -2.4276671071386655, -0.8651009505972669]","[-5.6286636075180185, -2.648685806495952, 1.4607376787638888]","[-5.13941086597417, -2.4913833255543882, 2.766310209213719]","[-5.941705283062009, -2.814927929422264, 3.864643947064442]","[-7.238188602705624, -3.297819507578474, 3.6640475468344387]","[-7.733388711417576, -3.4561566341078067, 2.365551607896841]","[-6.931040906944376, -3.1321047833007247, 1.2669941673447698]","[-1.2704822808905203, -2.2721381980433972, -0.4704991953421031]","[-1.5478620737112243, -3.581118097398041, -0.05900777858949911]","[-0.3459732960292101, -1.630465860058332, 0.5974780868435564]","[0.8925625991271193, -0.9055496269939115, 0.028308937692019403]","[1.4194253007057729, 0.01687562483118037, 0.9755466267004272]","[2.0823869209820787, -0.3827933262080438, 2.1389097835003437]","[2.094787688543946, -1.591911769647864, 2.4925136996302624]","[2.857376674556205, 0.6231809964862508, 2.9261274254611984]","[2.243943445781163, 1.877592279429256, 2.841663548232212]","[4.301821632174172, 0.6833310434007775, 2.4211073940519143]","[4.3602736421183215, 1.1123740941466638, 1.0259575762094097]","[5.453795230234544, 0.7791676198838329, 0.1652997384649922]","[6.456363801700961, 0.16910633253567703, 0.6288030793190484]","[5.3990665292643145, 1.1271883640866909, -1.26408809719792]","[4.272829461990405, 1.7751707448713896, -1.7921850254633052]","[4.207018928849131, 2.0855415689300276, -3.1537979084621197]","[5.268491601579575, 1.7498441198146366, -3.9973056956415567]","[6.395876258125041, 1.104941699844183, -3.479810580908464]","[6.46109487987259, 0.7942226767932612, -2.117719934094867]","[5.169137042428861, 1.5382622858681532, 3.294828137033609]","[5.116171475489799, 2.9384292531815905, 3.2261489574173843]","[5.925910121173044, 3.7130308324451806, 4.060862937838185]","[6.788795646104837, 3.093045406749094, 4.96898580128798]","[6.840381466564829, 1.6986470311685467, 5.044166691217164]","[6.030635202299684, 0.9233875419982206, 4.209629387104531]","[0.5742193714434329, -0.21989300074167004, -1.2836394934610134]","[0.9445490508849739, 1.2217320936530252, -1.4823139664031382]","[-0.14149285921934907, -0.8984425526036688, -2.2142311773235908]","[-0.7603115698512928, -0.1347856360735583, -3.3644411817407196]","[-0.3836229721713305, -0.7064900050553202, -4.615669929501261]","[0.8982948762126521, -0.563386802322397, -5.148820666375326]","[1.2222440574575075, -1.20165874403389, -6.450252627127112]","[1.781250110332674, 0.10314615698810921, -4.545545673865201]","[-2.2686629920622985, -0.05539909930184214, -3.2225812768930426]","[-2.9677528126465615, -0.566444313892735, -4.088581130178437]","[-2.923594501428137, 0.6691828703005106, -2.0449363064419863]","[-4.451664234130402, 0.591987626293491, -2.162915888367771]","[-2.4593434780411596, 2.136032359616433, -2.062387451331799]","[-2.693003156162819, 2.72601954077272, -3.30764805065329]","[-3.1455844743256702, 2.9655844824030213, -0.9886278931908941]","[-3.0328458807701, 2.397253670333354, 0.4309465503462059]","[-4.339194152335261, 2.2728761010227303, 0.943762672018402]","[-4.203045559344698, 0.8763919894025866, 1.0695277208568241]","[-2.7749698421439413, 0.9026543523533479, 0.5865951160794942]","[-1.8290972931057576, 0.6079762115355739, 1.6244016512520634]","[-1.8189805847007703, 1.1327098296209501, 2.9260248044537294]","[-0.7748966696296369, 0.6774972729347671, 3.8778723469719294]","[-2.6749420973418965, 1.9751204331524865, 3.3082192180194894]","[-0.5819962068478901, -2.3225393970518513, -1.8701878371336451]","[0.6463317881947357, -3.231685195557399, -1.848198979671413]","[-1.5203055906652345, -2.941166818009462, -2.9057706561605814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01248,"[-1.582137717390964, -2.559863682500138, -0.7748835985175331]","[-1.0594414417547284, -3.2522187941114984, 0.4911511791324719]","[-2.0669179844093555, -3.2556205125672393, 1.644776695159552]","[-2.9983341393139042, -4.286624632217847, 1.4761874706562883]","[-2.7138816444893306, -1.8778078237021338, 1.9746912655260875]","[-4.247435324787201, -1.9614121136857836, 1.8885377464536]","[-2.3179879001642467, -1.5586032352450265, 3.417905593680003]","[-3.130164734758876, -1.7434439380996671, 4.316074917482337]","[-0.9122898834250133, -1.127977902386795, 3.804726154339513]","[-0.7771168635069966, -1.0087547149219507, 5.190548120061952]","[-0.48733670821161174, 0.15773452166442034, 3.135389691962437]","[0.5665744338740691, 0.13924509563699156, 2.2831029462828125]","[1.486169684420457, -1.0437124859128393, 2.2017087697082873]","[0.7370954637630985, 1.3240866131824152, 1.354628877977168]","[-0.6000708733680781, 1.7326251686289782, 0.7030097981331375]","[-1.8096725698074867, 1.7069339848408522, 1.6865582852438212]","[-2.423498142583525, 2.963818941781913, 1.6395466021124643]","[-2.8440245046876886, 0.6357723523486253, 1.228867269766471]","[-3.62330136567396, 1.0892185265598366, 0.12528596438704043]","[-4.9138886756842375, 1.5980505510614975, 0.282740439390795]","[-5.4306744468605, 1.67881649141908, 1.4318391276502755]","[-5.668824120996897, 2.0360178360020127, -0.9014931551715014]","[-6.965334098567733, 2.555499087477641, -0.7712052047063206]","[-7.676433613095786, 2.970123411410721, -1.90190815989012]","[-7.09593570471424, 2.867647445191367, -3.1690720467043123]","[-5.804809431825867, 2.349991068793767, -3.306353639194212]","[-5.093727160669, 1.9354703088551768, -2.1760080621884046]","[-2.2425630087106434, -0.7725452581988629, 0.9733386651282956]","[-2.2029242482090368, -1.2055635941090979, -0.5203586261499592]","[-3.460003867399489, -1.8672920254829304, -1.0309382411995736]","[-2.8084380822112176, -3.107620691809377, -1.2037247218538645]","[-1.7062341752856098, -0.17419781899650974, -1.3856829585377273]","[-1.561741154791058, -0.25260105105371117, -2.77840491741744]","[-1.0471611119854691, 0.92868594237892, -3.5182757225213335]","[-1.8543120825623443, -1.2992243643295323, -3.4151237863374053]","[-1.3633641695101204, 1.417429971113108, 3.1574131564640546]","[-2.5768820316687115, 1.3057114630790683, 4.080638082282352]","[-0.5470035605955422, 2.5811103723436912, 3.722034915696691]","[1.805116885817172, 1.2041923348402848, 0.4109996773853396]","[1.850449139448495, 0.2765338105541647, -0.6350967505179156]","[0.9597365342132169, -0.6055624227939755, -0.7608635925649683]","[3.008247651088833, 0.30786227812685096, -1.5795133030549195]","[2.5381364881669337, 0.32791989518347076, -2.8945209340591287]","[3.9366104118593395, -0.8972200507893607, -1.3668848371426885]","[5.00527172779729, -0.9513378485257113, -2.3649341060386533]","[5.9487326200936055, 0.0950028304108787, -2.621640926020734]","[5.868236958726033, 1.1932015027552676, -2.0056584070910755]","[6.953432264303815, -0.11735697268847817, -3.5755223404684746]","[7.9542403664366175, 0.8422606580167442, -3.9289806606106357]","[8.804381552185466, 1.2023140136627257, -2.7222601784242566]","[8.854796640908353, 0.23695193536014778, -4.984826630608377]","[7.3174583820445065, 2.0966541797473264, -4.503148582222213]","[4.490122937671576, -1.0054029503174415, 0.0269053748258839]","[4.465856601835684, -2.248938148964366, 0.6696006175786123]","[4.9725389426831965, -2.3815973835928945, 1.966463336889358]","[5.509588304765591, -1.2708752992403616, 2.624819799537742]","[5.543566114484276, -0.028126137272286952, 1.9856995592613707]","[5.037506437089831, 0.10461926108774708, 0.6890136217849888]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
