Drug1_ID,Drug2_ID,Y,Neg samples
DB04571,DB00460,1,DB01048$t
DB00855,DB00460,1,DB00837$h
DB09536,DB00460,1,DB01103$t
DB01878,DB00460,1,DB00470$h
DB00140,DB00460,1,DB01399$t
DB00821,DB00460,1,DB00296$h
DB00390,DB00460,1,DB00189$t
DB01229,DB00460,1,DB00643$h
DB01248,DB00460,1,DB00914$t
DB06772,DB00460,1,DB00646$h
DB01396,DB00460,1,DB00804$h
DB01092,DB00460,1,DB01081$h
DB01600,DB00278,1,DB00455$t
DB00615,DB00278,1,DB00460$h
DB00252,DB00278,1,DB01029$h
DB01045,DB00278,1,DB01355$h
DB01320,DB00278,1,DB00424$t
DB00794,DB00278,1,DB01157$h
DB00312,DB00278,1,DB06216$h
DB00238,DB00278,1,DB13142$h
DB00673,DB00278,1,DB13146$h
DB00559,DB00278,1,DB06782$t
DB09280,DB00278,1,DB00345$h
DB00688,DB00278,1,DB04841$h
DB01296,DB00278,1,DB00150$h
DB06736,DB00278,1,DB00611$h
DB06739,DB00278,1,DB00701$h
DB09218,DB00278,1,DB00492$t
DB00814,DB00278,1,DB01339$h
DB00573,DB00278,1,DB00871$t
DB09030,DB00278,1,DB00321$h
DB00744,DB00278,1,DB00130$t
DB04743,DB00278,1,DB06335$t
DB00963,DB00278,1,DB00474$h
DB05266,DB00278,1,DB00557$t
DB01399,DB00278,1,DB01440$h
DB01435,DB00278,1,DB00271$t
DB01207,DB00278,1,DB01244$t
DB06737,DB00278,1,DB11079$t
DB00775,DB00278,1,DB00335$t
DB00975,DB00278,1,DB00859$h
DB08994,DB00278,1,DB04839$h
DB00412,DB00278,1,DB01587$h
DB07615,DB00278,1,DB00909$t
DB06802,DB00278,1,DB04953$t
DB08887,DB00278,1,DB01431$t
DB01236,DB00278,1,DB00346$h
DB00179,DB00278,1,DB03615$t
DB09215,DB00278,1,DB00882$t
DB00768,DB00278,1,DB00276$t
DB00806,DB00278,1,DB09079$t
DB09084,DB00278,1,DB00658$h
DB06206,DB00278,1,DB01627$h
DB00932,DB00278,1,DB02709$h
DB13167,DB00278,1,DB01392$h
DB09075,DB00278,1,DB01579$h
DB01014,DB00278,1,DB00356$h
DB00235,DB00278,1,DB00181$t
DB00712,DB00278,1,DB00375$h
DB00465,DB00278,1,DB01227$t
DB00461,DB00278,1,DB00487$h
DB08816,DB00278,1,DB06696$h
DB01628,DB00278,1,DB00175$h
DB00751,DB00278,1,DB00860$t
DB11362,DB00278,1,DB09119$h
DB00939,DB00278,1,DB00409$h
DB01088,DB00278,1,DB00180$h
DB00482,DB00278,1,DB00548$t
DB00758,DB00278,1,DB00622$t
DB00605,DB00278,1,DB00575$t
DB00770,DB00278,1,DB00957$h
DB08439,DB00278,1,DB01618$t
DB03585,DB00278,1,DB08911$t
DB00735,DB00278,1,DB01047$h
DB00608,DB00278,1,DB00232$t
DB06725,DB00278,1,DB00869$h
DB00500,DB00278,1,DB09268$h
DB00163,DB00278,1,DB09204$t
DB00266,DB00278,1,DB00946$h
DB00991,DB00278,1,DB00246$t
DB00176,DB00278,1,DB01051$h
DB00285,DB00278,1,DB00176$t
DB00834,DB00278,1,DB12070$h
DB00196,DB00278,1,DB01206$h
DB01319,DB00278,1,DB00527$t
DB00220,DB00278,1,DB00327$h
DB00648,DB00278,1,DB09245$h
DB00582,DB00278,1,DB08954$t
DB09123,DB00278,1,DB00519$t
DB01167,DB00278,1,DB08819$t
DB00257,DB00278,1,DB00855$t
DB00243,DB00278,1,DB00376$h
DB01026,DB00278,1,DB00575$t
DB00304,DB00278,1,DB02701$h
DB06730,DB00278,1,DB03619$h
DB04855,DB00278,1,DB00449$t
DB00603,DB00278,1,DB08796$h
DB01264,DB00278,1,DB01282$h
DB00188,DB00278,1,DB01612$h
