0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
DB00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00035,"[-4.62518759629921, -5.485686636483611, -1.4925712405504221]","[-3.4810617061333673, -5.124662998763805, -2.26309557536156]","[-2.6949863276190964, -6.018169467359497, -2.6785180714078867]","[-3.207502278508809, -3.687281909592557, -2.563221495208211]","[-2.0013944952182943, -3.1843447915666205, -1.7779465478769352]","[-2.3097517827047445, -3.078839207063524, -0.28762085153384465]","[-3.2540465665529186, -1.987736780601608, -0.06864412339313873]","[-4.044965350921547, -1.8595440362731448, 1.1170804912819807]","[-3.8738904059142594, -2.6500419190586806, 2.0833321504856763]","[-5.118301398725687, -0.816006264794479, 1.2013321259131031]","[-6.472730232459207, -1.4140038361860052, 0.8332081599980239]","[-7.0458859292809874, -2.2085397090523595, 1.95852403159663]","[-7.6280676808483685, -1.561777982460306, 3.055816755348899]","[-8.164959313649023, -2.313551007757436, 4.106241700775624]","[-8.11800509565944, -3.7107989273695243, 4.061985023706573]","[-7.53745886538187, -4.357142449070796, 2.9667518187617863]","[-7.002745835007089, -3.60678324441714, 1.9156024594829255]","[-4.827205840489924, 0.2901569049242127, 0.29965960415030723]","[-5.396015988819644, 1.5931243268985442, 0.4709036736586688]","[-6.02623098815108, 1.8782139431275342, 1.5233702797947017]","[-5.293417637599599, 2.6146029799091015, -0.6164063807517473]","[-6.559789798380885, 2.564686455786619, -1.463488359404474]","[-6.8109227282145275, 3.8685992723376716, -2.1404023513629395]","[-7.349291783846228, 4.941641482201289, -1.421543104612252]","[-7.57917671748423, 6.166750674850005, -2.056188167280049]","[-7.269912005638555, 6.320535199522638, -3.410319077302827]","[-7.49565254042536, 7.5375951311018845, -4.039943271035967]","[-6.733042231809822, 5.249126166698275, -4.130125485786924]","[-6.505693589036052, 4.02314697675494, -3.4963361805362854]","[-4.124094086049074, 2.351396102379823, -1.4464551717069658]","[-3.4122990398794757, 3.371254965408596, -2.1506814412005584]","[-3.7200613113950185, 4.58622651722071, -2.0158008209257967]","[-2.265387779559377, 2.98317945949226, -3.0184107608386954]","[-0.9300770465359641, 3.3195147522247037, -2.363080343033369]","[-0.713496894754445, 2.4513749904812943, -0.7751981885841567]","[-0.46080600707774605, 0.5403662718722895, -1.6899843740078133]","[1.3613637026884258, 0.6726691036064419, -1.7104344793633628]","[2.009926957216293, 0.03572016703511009, -0.4815284325520426]","[1.5575391893332664, -1.343445385520828, -0.32947149972400774]","[2.044332072607391, -2.240846959993689, 0.6752974406293506]","[3.0191716378607873, -1.9133920392396409, 1.405291638462696]","[1.388562502698351, -3.579142096440565, 0.8774460775770861]","[2.310726873004304, -4.733332460698079, 0.47345256856529905]","[2.7697921367075833, -4.659265031438094, -0.9506037318457399]","[4.158451309334607, -4.516859014720478, -1.2370524439357198]","[1.9377096272761762, -4.733777285061318, -1.89389132762794]","[0.1105249795865957, -3.6784793717852597, 0.17488968323166587]","[-1.0394000486068022, -2.8883206408361253, 0.49623280550835347]","[-0.9986899062531265, -2.083243231907234, 1.4647926368312165]","[1.7610227867993178, 0.8555300000942283, 0.7593083656098395]","[0.8658428694725119, 0.5023865985781305, 1.5765740179596721]","[2.506901227100376, 2.0569825050828943, 1.000583739480817]","[2.3248510597736374, 2.8598746265156185, 2.1931539992945153]","[3.238385919029296, 4.060042600134329, 2.0280676959272017]","[3.67942648901483, 4.070289200770227, 0.5707070415213816]","[3.368623005111389, 2.689574855580657, 0.01765615491252461]","[4.629905839364768, 1.9089715053626353, -0.16389377381208686]","[4.986216513464871, 1.5834374284258772, -1.327021244314033]","[5.428923247834083, 1.5560736317289834, 0.9736267208348193]","[6.653890175857357, 0.7566485475531248, 0.9302485267511759]","[7.659365532194941, 1.2852655593520106, -0.08772685576382769]","[8.138523377426605, 2.681306448172733, 0.28634909683404475]","[9.07634366991715, 2.6426539880616793, 1.4872200612803552]","[10.371840769671712, 2.094736694767526, 1.1051864972694938]","[11.33769339714403, 2.828431414688812, 0.347913771645187]","[12.579932731167393, 2.2191374264435404, 0.01784080353432787]","[11.07686757404968, 4.021702067870271, -0.07956463864102725]","[6.3631595113867565, -0.6939553862986086, 0.7112916487275897]","[5.552586575338409, -1.0638549999600038, -0.1848774454229934]","[7.0421634172942555, -1.659996929003451, 1.514998774943107]","[6.811679831370796, -3.0907634193531917, 1.3700798786202821]","[7.687260462102087, -3.828318842759301, 2.3210865814984327]","[9.094496683590533, -3.8875284548162883, 2.0987484039187794]","[7.1876011770948836, -4.373494225313655, 3.3401943503803673]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00104,"[-2.369706112356565, 2.6916906123357824, 1.639421254638271]","[-3.0843909169294212, 1.4142973193169452, 1.6711817204891015]","[-2.658057468470989, 0.24290773598338256, 2.3749841917494625]","[-1.6100699273224828, 0.25936363594156847, 3.0783183799738456]","[-3.507525557104019, -0.9869742826111341, 2.316937341490569]","[-4.382229267781027, -1.073776821074012, 3.5616258604634012]","[-5.454432969314809, -2.1468256766592173, 3.410326735219782]","[-6.4663440590839105, -1.798869407945879, 2.3202228189636047]","[-7.456418626646832, -0.7376656801737931, 2.7827732012071613]","[-6.841491994161622, 0.5788110897733174, 2.7399289166432745]","[-2.678599043699631, -2.178565056295761, 2.1997920690914428]","[-2.1072796658337456, -2.589001027333985, 0.9585359096664967]","[-2.374599526419979, -1.9661519198024522, -0.1035280379624477]","[-1.2285051912526384, -3.7986333242682035, 0.9261983456289966]","[-2.027571264901888, -5.090794520125694, 0.7336723026473548]","[-2.7299150805271557, -5.148990371746981, -0.5866620543446918]","[-2.187536974948306, -5.57470124760539, -1.7942932241529967]","[-3.0945365236410756, -5.429185148388351, -2.7935624062287365]","[-4.1886252469077725, -4.908768706472975, -2.20689029826073]","[-4.002838662593052, -4.721267058399943, -0.8645060079363006]","[-4.99172979161582, -4.179304751826778, -0.04443654357584756]","[-6.211537124716843, -3.8272122117174465, -0.6498854835517742]","[-6.408096764963561, -4.021062749884089, -2.0345008532085194]","[-5.3867974401032015, -4.568829082743141, -2.8322436089425596]","[-0.18851659439682586, -3.6611608067152055, -0.08202652005863754]","[1.1154492865514551, -4.233212610348033, 0.07163785993372221]","[1.399451305503434, -4.892980968324188, 1.1088978032193078]","[2.1328255978652875, -4.04572223515254, -1.0244534484250043]","[3.5739332174833063, -4.21720080480556, -0.5459277786637798]","[3.989870310642961, -5.647890027631674, -0.6259955987924568]","[4.40542035094507, -6.192034002759151, -1.8481145141598199]","[4.765398087500797, -7.541641434647495, -1.92968168510208]","[4.708390906230302, -8.349396968198121, -0.7898753374525767]","[4.295157881792658, -7.807971671511721, 0.43119961149811853]","[3.9350937629462677, -6.459040166042494, 0.5126469118012251]","[1.96204009766988, -2.746205498864497, -1.6719444250113376]","[2.059236310360679, -1.4889015638366094, -0.9869241044139948]","[2.4675839391864094, -1.446344630982194, 0.20794998630586128]","[1.5411363090041799, -0.24667239216743922, -1.6500665136923651]","[1.94541626408768, -0.16643137815034548, -3.116880186101343]","[0.6111789276751397, 0.5800381205124573, -4.111386665037682]","[1.140519914851503, 2.579148862092458, -3.579769306495732]","[-0.2537405419253496, 2.7146120021317217, -2.4095258688280907]","[0.09804557635649547, 3.609481792488717, -1.2217419123411164]","[-1.002033598270824, 3.613869392100167, -0.26790797078222683]","[-1.1633439948284563, 2.624770489845145, 0.7489294367404657]","[-0.29228023452967244, 1.7272310532361381, 0.9129053157026455]","[0.3794469587981745, 5.005988132996209, -1.6672859154132744]","[-0.5565816054270681, 5.74117375396723, -2.0850006583007574]","[1.7361176353209702, 5.477703571667552, -1.667073898210657]","[2.1508616796417455, 6.817415059355037, -2.079897159463097]","[1.4988409502296984, 7.871622726651499, -1.190934526053121]","[1.932831445119519, 7.719071047719377, 0.1273457830859455]","[1.8390275784834125, 7.054244044355449, -3.559203893895098]","[2.4245202779247634, 8.378020084745822, -4.020231543546348]","[2.386722830612118, 6.025959135647497, -4.331272927844617]","[1.9361352191976553, 0.9629222432967677, -0.9304223879881124]","[3.2729846785650425, 1.4655950839098206, -0.8347908030123457]","[4.236016458234304, 0.8297728255196368, -1.3436801235753528]","[3.5136823191007367, 2.733653866695261, -0.08410249835548096]","[4.467639862180892, 3.57236988793212, -0.7930990941599723]","[4.022886092756413, 2.4210762871323226, 1.3150727974855618]","[3.8169434479533493, 3.586590280901687, 2.2226961073766756]","[4.869845353694164, 4.471970806025735, 2.4729978840582807]","[4.674211050552985, 5.5737086900588, 3.3109473479553175]","[3.424730836226316, 5.791096781557022, 3.8979409410178674]","[2.3687923820991634, 4.907796008351122, 3.646915326154648]","[2.564067248320859, 3.80746169958652, 2.8072161255312915]","[-2.047329424980531, 3.210586077809456, 3.042322142008414]","[-1.510519073118646, 4.628682589519374, 2.9813616078773504]","[-3.199272082893242, 3.1986834140552665, 3.826823747716072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00115,"[6.500556615852257, 0.11646428107279903, -0.6945103910617295]","[6.081949620675432, -1.3182288365954928, -0.46461603030405696]","[4.9744387001806905, -1.6849888234832004, -1.4451756754306258]","[3.7166245683136787, -1.0662549908555183, -1.0570399490556739]","[2.7838412233172756, -1.7314888807322621, -0.20759857279875538]","[2.9378422569405287, -2.9469294023961643, 0.08753553102619252]","[1.607007137192324, -0.9903448141695896, 0.32242300736196994]","[0.3138663582016704, -1.5013187512430235, -0.29889552096787686]","[-0.18174979990568396, -0.668622202673244, -1.49202506898349]","[0.7092010263654017, -0.8832873837899512, -2.720899363755043]","[-0.3283223995560211, 0.8163441980852262, -1.0671738672876043]","[0.37897624533731566, 1.8603871415065192, -1.9573067407462053]","[-0.2841818206779452, 2.1279102130209053, -3.273087064445685]","[-1.5633350901277203, 2.759822136785932, -3.327862704956159]","[0.3174617965407214, 1.8571564556082891, -4.349155331172132]","[-1.8428301090162589, 1.061464352567083, -0.9419920883373871]","[-2.462605384345133, -0.15573278229844634, -1.4328348423111195]","[-1.604844808833334, -1.0627534740607794, -1.77211234478749]","[-2.032898032575693, -2.412108842958418, -2.2462474728327986]","[-0.9921811716429467, -3.35720418160284, -2.7636988088096124]","[-3.317999029281765, -2.814902437796569, -2.2118088016677966]","[-4.381217184090458, -1.9983494968367583, -1.7518824535409536]","[-5.499288677560361, -2.6107518180440232, -1.947747582054053]","[-6.797597812206961, -2.061796744081048, -1.5202995555958232]","[-7.000056768568337, -0.8540089626684235, -0.9895273249630309]","[-6.011958057762959, 0.1568641882942375, -0.8685087849202561]","[-6.547877199156545, 1.2026205110139938, -0.3204084721687904]","[-5.757504359067751, 2.4270161070644387, -0.04905926017371149]","[-6.343243933895194, 3.7460453152332054, -0.42925336526347624]","[-4.508873878835669, 2.380357574093236, 0.4492364157295008]","[-3.643188628053612, 3.572760878774731, 0.7024582576281447]","[-4.058787709443514, 4.526363248299167, 1.856361375211817]","[-5.4282964055599905, 4.274467048426254, 2.483164926738893]","[-5.3216500053594835, 3.347089061855751, 3.643722063790174]","[-5.438092420126053, 3.859706348493108, 4.971964290806678]","[-5.146710247981968, 2.113701880579892, 3.459475554846195]","[-2.1973728494410136, 2.999417035634194, 0.8062107132950204]","[-1.5818608154225882, 3.2340073200681907, 2.200199376631526]","[-1.3023781364188245, 3.733528866528168, -0.22217666307626377]","[-1.2850694472362145, 5.231157856797367, -0.09206738814746765]","[-2.2755190463374864, 6.012996061057037, -0.7435310477709911]","[-0.38665170040318453, 5.795767384923372, 0.5766501818210755]","[-2.343045508764016, 1.4410928200861082, 0.49110993787222346]","[-1.6743047244800835, 0.5247365993482996, 1.5227206620695757]","[-3.774089805838085, 1.1769374842608051, 0.5471081778342721]","[-5.084949817136783, -1.1910010401592483, 0.16461292251219228]","[-4.252397448739182, -1.3689296501500337, 3.5405806146071477]","[-3.6898874350030084, -0.5854252777142257, 4.185409385239241]","[-7.983870070220357, 0.9896501178888244, 0.11914418928605398]","[-7.996562352715061, 0.8660211648799547, 1.6456458947080694]","[-8.965413359390231, 2.046406728549829, -0.4484628834769714]","[-9.379992371052078, 3.1593971681862745, 0.4762332917596065]","[-10.047856552515245, 2.8830636091260993, 1.7107488053180442]","[-9.228970646304624, 4.355339678333485, 0.10664318570412887]","[-8.32705313227644, -0.3539657498775991, -0.5624068724598061]","[-9.108313707370206, -1.3675920533393693, 0.28228836284683484]","[-10.57676661690773, -0.9695473272872186, 0.43528923884441995]","[-11.299050056105358, -0.9703592134332547, -0.8729098180072374]","[-12.234203334497845, 0.06474163053090111, -1.1559324742810468]","[-11.101821447037223, -1.8846400987094643, -1.721778466626858]","[-5.360007199225615, -3.935620472353022, -2.6394248365035287]","[-6.159525697981533, -5.0198201715480275, -1.9303642452706606]","[-5.868042264196235, -3.8225897044058628, -4.067209708091496]","[-3.8292254074068315, -4.149454988534029, -2.66277823034941]","[-3.2936537394138283, -5.314075074843438, -1.7996204302873429]","[-3.5650863292700103, -5.174313001966175, -0.29760198094522067]","[-2.446822242963771, -4.478326367705332, 0.4006197624888451]","[-2.6979998881789133, -3.2821062872104854, 1.1302107973145192]","[-1.2898469089621087, -4.969785048209606, 0.385101274560253]","[5.653976109084634, -1.4774115629045625, 0.8570781708006172]","[6.374651495199479, -2.9027946141676892, 1.441463920895997]","[6.541241737444941, -4.056710679365731, 0.2100533127370065]","[5.482751982758484, -3.4775955176550095, 2.5135794065406984]","[7.885765166750084, -2.5529114939407083, 2.133295589262592]","[8.71837239040804, -2.177267423461574, 1.072343912779048]","[9.968037006353041, -3.02910327229919, 1.0344602641389613]","[9.769151895488625, -4.271559133180185, 0.16928326628113302]","[9.52091158542476, -3.9198467899564093, -1.160641110371626]","[11.042032952133043, -2.253581418373205, 0.5563717916639062]","[10.604662417067077, -0.9132293511220068, 0.5433715291623064]","[9.26182414831619, -0.7878499614999707, 1.2499826944599293]","[9.435886857185126, -0.5040110059984055, 2.615247795214981]","[11.626967952889988, -0.025313798336982295, 1.0913347212846713]","[12.472175877625643, -0.27385372386168594, 2.1224529881279968]","[13.292254324489665, 0.7824238571965197, 2.381017216971296]","[12.927677463506805, 1.6980321250234371, 1.4649724880305464]","[11.918289152615023, 1.2168145936745665, 0.6926547085470491]","[11.34825507711324, 1.9612290189720616, -0.3366517740683054]","[11.85286670109866, 3.255807426936667, -0.5612420024972147]","[11.258843898955746, 4.073653753690975, -1.6638017103819942]","[12.907316488488732, 3.7641030628610768, 0.2448465863367499]","[13.462939841459697, 5.133156262188837, 0.028803302530138606]","[13.454282922080852, 2.9736415323317953, 1.2730771321017473]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00120,"[-1.2454211693540718, -1.5440453949418258, 0.9316805117304227]","[-1.3590489420678151, -0.1255277995312391, 0.6343071705693206]","[-0.7150205151604816, 0.18327805493455335, -0.7102100584698025]","[0.7725620890072384, 0.1253457900932646, -0.6173235788987984]","[1.4523543169707387, -1.0413459719065954, -0.9854177362547724]","[2.845832660572624, -1.1008423375944536, -0.885960577493912]","[3.561160276407088, 0.004897921659764133, -0.4159190663813897]","[2.8832877242157444, 1.1700741066431963, -0.04424348778324128]","[1.4898121372738404, 1.2301341554046608, -0.14345268050960344]","[-2.7957034303129134, 0.27059947782075155, 0.6131252527862313]","[-3.6936674037027135, -0.3783722350131597, -0.22622811860580977]","[-3.196147743849266, 1.20580423243109, 1.3533549307619792]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00121,"[-2.4524724175341412, -0.2490177492285567, -1.8029618753493917]","[-1.4385276082773646, 0.7495763574828411, -2.3257595256758057]","[0.20907927543038962, 0.02886044650380948, -2.097127821102612]","[-0.3366868913039573, -0.6753645281508966, -0.514746235637011]","[-0.1575846424199722, 0.35761958532950167, 0.6008115867539852]","[1.2564453854138402, 0.31990320347645695, 1.154684259535033]","[2.16931004377202, 1.2256925965972527, 0.3458219487535142]","[3.605423329057399, 1.098278424342693, 0.8247440500676347]","[4.216047471606863, -0.16699488779018884, 0.3262525734796665]","[4.669130420980221, -0.2514412387105658, -0.9835492987198312]","[4.296855356885494, -1.1681259905204313, 1.0841753421400013]","[-1.793529403920086, -1.1148815054322867, -0.7100678595098531]","[-2.6009581628458127, -0.9502552522457322, 0.4943040686972728]","[-3.609325674932571, -0.018582238643364845, 0.16974141683545965]","[-4.47462062403663, 0.36846270808702286, 0.9967926619477044]","[-3.5585858578541996, 0.4462700688653546, -1.1615011557845631]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
