0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
DB00945,"[3.503517988405057, -1.5166560942332037, 0.288513036105227]","[2.0344895693675973, -1.5287880803208724, 0.5105114299275137]","[1.5123691669916126, -2.5084506510944693, 1.1055892935644467]","[1.268975272522031, -0.44717197787526847, 0.05043923177913902]","[-0.1234647983745667, -0.29158533937289605, 0.17240529434705315]","[-0.9139245562687772, -1.2672214286996581, 0.8046606982998622]","[-2.2946216388895633, -1.1078590221962996, 0.9229041200187517]","[-2.9083648170956367, 0.0324786971758404, 0.4095165547631113]","[-2.1401594631206478, 1.0112716015173906, -0.22114365702910593]","[-0.7490928236627344, 0.8670875393800925, -0.3489421668176008]","[0.011323742819850368, 1.942003848538391, -1.0293225978766865]","[1.3895367417602291, 1.860188368335717, -1.1882328288054071]","[-0.5905843844543902, 2.9547025388456976, -1.4768984082767644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00458,"[4.255293159139753, 0.9166970508820432, 1.4933685499455338]","[4.376452582427622, 0.43397358100187783, 0.12526142637152238]","[3.818116251582523, 1.442275203715011, -0.76334897245609]","[3.6530106199825534, -0.8357103143230222, -0.025161622613132748]","[2.1692932931602407, -0.7567858018359727, 0.34638230107161094]","[1.3315747338579103, -0.46898471679310516, -0.8867624790622917]","[-0.060772283551065356, -0.24829468194615137, -0.49964986950942564]","[-0.9836738279491264, -1.3696511975006758, -0.5436450220616634]","[-0.6619527204690867, -2.454026891080871, -1.3829089018816483]","[-1.482999651058595, -3.576599109337566, -1.4761231900063472]","[-2.6525095906285876, -3.643368586921877, -0.7263146283006371]","[-2.9956094692712383, -2.5892943072506442, 0.11760469204477096]","[-2.179659090193167, -1.4573109480486364, 0.23236582546291346]","[-2.697113243140647, -0.3996807192024425, 1.1584064570650856]","[-1.5985229098432516, 0.3301956332526419, 1.8947942583214183]","[-1.1182504608483606, 1.4131707862809417, 1.0067118689160923]","[-1.4120150706380143, 2.7425160025061412, 1.3288924213932798]","[-1.0047818499188041, 3.7765158020593184, 0.4832896086572008]","[-0.3055527839535727, 3.483000477788897, -0.6887703481697013]","[-0.0170235581013223, 2.1555585081582604, -1.0149659729788496]","[-0.4333041305855451, 1.1058042285958916, -0.17942640220964884]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00996,"[-0.7354045487836274, -2.7031266181421807, 1.336845297077235]","[-0.9025305019617259, -1.2881134741386158, 1.6377408761915846]","[-0.2465637038356187, -0.4041394925884254, 0.5765147790404082]","[1.2590678830025253, -0.7106347894040966, 0.5516273828574266]","[2.026234161683291, 0.09944956558792221, -0.4461152555332153]","[2.590958796733974, 1.310849751131279, -0.07025671504806022]","[2.1465627197407495, -0.3075184889192505, -1.6307626551829386]","[-0.8767207182993725, -0.7102987573706676, -0.800478050579451]","[-2.1697654431527575, 0.0736539558919089, -1.0137790382148095]","[-1.9226464878503349, 1.5874487479887487, -0.9886179651859992]","[-0.6930149699309467, 1.9960362220574108, -0.16907964662336084]","[-0.4761771873464778, 1.0563933779058803, 1.0163609912013154]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00454,"[-1.3313765962601591, -4.342737564372432, -0.5812512630862678]","[-1.1155342150804668, -3.3344118779486034, 0.5270438687340737]","[-0.8142957221490417, -2.0682176824321368, -0.03880262419928937]","[-0.5668726936959687, -0.9442479807620608, 0.753937774024403]","[-0.5641592974572996, -1.0454811262773478, 2.0127951780545668]","[-0.21700923451146648, 0.37410324026276665, 0.09893495901115931]","[-0.8936380535392883, 0.4927192533208559, -1.2791642063024016]","[-2.420915305235029, 0.5937447753374702, -1.1657914308284087]","[-2.850661545805436, 1.7133053618290761, -0.3200267909299389]","[-2.509013232125512, 2.9810489978721475, -0.9549334696558327]","[-2.2384655706984273, 1.634877338643469, 1.0113307410169603]","[-0.7066470319097492, 1.5600471644260614, 0.9525329807678261]","[1.2938321946586537, 0.42885439784376106, -0.060597816382878894]","[2.1069823245329675, 0.9614222504517028, 0.9574610116951771]","[3.4995215702762383, 0.947038465596102, 0.841292623623565]","[4.100629194367822, 0.3826766862940215, -0.28556866036695566]","[3.310074104139301, -0.17456297082789285, -1.292608911509421]","[1.9175491104925382, -0.16017872925703527, -1.1765839636664004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00952,"[-3.363437035417956, 0.6248102335739414, 3.6339133207963585]","[-2.702312139880193, -0.11524328892949555, 2.5725669792102335]","[-3.5898722649085597, 0.15149051589477688, 1.1089747201022233]","[-2.9756427397237943, -0.6622899353140199, 0.005278709424682637]","[-5.017385872448489, -0.2803939292747955, 1.296470991288128]","[-3.555614147129766, 1.880879801676959, 0.659983653121191]","[-2.155924417170291, 2.4679174902577503, 0.794378027523815]","[-1.2672123492154719, 2.0268363830915055, -0.31956658863971327]","[-0.27727742689302615, 1.057155233874042, -0.07558976817248463]","[0.520195336764625, 0.6673551563719738, -1.1489489421435548]","[0.36633081009165486, 1.193676371912602, -2.4015099449012]","[1.2408975558921078, 0.6622953711538944, -3.2750732881547626]","[1.9704664417365094, -0.22821353188890273, -2.555756761679198]","[1.5431392058992688, -0.24165939388683536, -1.2295969582136679]","[2.068372124502318, -1.0921732081676392, -0.11904054828462136]","[1.783068847724486, -2.571747960113403, -0.3816113570003735]","[2.4091497519143603, -3.481762119383075, 0.6895826604168743]","[3.249779006149303, -2.744201469864047, 1.6371853425783864]","[3.9864448600139486, -3.7345675511508762, 2.400213662239748]","[4.235382634257301, -1.9727978158894384, 0.8837178561818916]","[3.5610731212474094, -0.8317032495104465, 0.11282644135496143]","[-0.6027399993892099, 2.1566329194484037, -2.6747855658058777]","[-1.426881304016099, 2.573563366489233, -1.613612641240627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00213,"[4.775733945103966, 2.9383076013256364, 0.3870211941552173]","[4.595522749434809, 1.5298206543651827, 0.31880268171146553]","[3.569569051356256, 0.9262464557526129, -0.41775446257455356]","[3.4344798535153003, -0.4835200194976296, -0.4503373470456472]","[4.299178262635066, -1.359805495766743, 0.22849312587318132]","[5.392709312471395, -0.959293480283419, 1.04133329912541]","[2.383561271915075, -1.0401502359047805, -1.202946804236014]","[2.1709536526377176, -2.5196662979677322, -1.247588399500727]","[1.1318591643086733, -3.0992665266868036, 0.11901750610623259]","[1.9150655787209019, -2.775855844766667, 1.384375502310485]","[-0.2752154929305586, -2.0175935147682793, 0.18842806183275568]","[-1.5083811110148984, -2.3995281449382766, -0.2328884574812722]","[-2.2397099756108005, -1.2987754616189349, -0.009885878635795249]","[-1.46336357588883, -0.3162235816003242, 0.522419220210122]","[-0.20274653462898332, -0.7464462321592118, 0.6634945340090695]","[-1.9737629697057495, 0.9373090333834192, 0.8473447324557345]","[-3.3417741816786117, 1.1707852759291826, 0.6084555501232117]","[-3.8734368480665546, 2.426208873337368, 0.9291006019204363]","[-5.238860170178282, 2.787469080185685, 0.7353800630547096]","[-5.573617224255707, 2.7090621002926567, -0.6045407779448377]","[-6.06582432197363, 1.9678232912289764, 1.4823127614066296]","[-4.146022252591479, 0.14074934070863135, 0.05341856931849317]","[-3.595287331640885, -1.1143528545534644, -0.2632607590980965]","[1.5263976568611197, -0.2357445286598287, -1.886333691380428]","[1.6422553313196342, 1.1154943017613814, -1.868798188104699]","[2.6607161598847053, 1.7169462109013487, -1.1357672645090333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00492,"[-2.0090652815047383, 5.666491197607915, -3.629576036960556]","[-1.1676797425311691, 4.4545692333578675, -3.9718049292813613]","[-1.4199626175640114, 3.370199678957785, -2.9844763908509755]","[-2.3621618454297892, 2.558280795662195, -3.182534162315653]","[-0.6375727287720906, 3.2943698403167425, -1.829390287054047]","[-0.7990741211489099, 2.259835447776272, -0.8642462586767539]","[-0.02378829105840869, 1.1518146800079567, -1.2199246365079848]","[-1.0664223928380252, -0.19188321741423447, -1.2181672420946994]","[-1.8791403339657258, -0.19640053491048948, -2.4922110545787914]","[-2.1944138366735375, -0.17111885671822596, 0.21606900651105773]","[-3.262913917515512, -1.2409594698207616, 0.07372199633526887]","[-2.7562916178911623, -2.5702876271563793, 0.6027207003057169]","[-3.7835485026783973, -3.6667611333813284, 0.35764024153080676]","[-4.908498974125022, -3.5769701026467686, 1.3342572215829012]","[-6.091398605023563, -2.918605300361762, 0.9844127833443364]","[-7.143145164743412, -2.8297151071220905, 1.9013677371065993]","[-7.013017753946606, -3.398465447238132, 3.170361622095482]","[-5.829174448366433, -4.05367859678801, 3.525154587867683]","[-4.77685636322862, -4.141639157384619, 2.609195957949958]","[-0.0628135059856301, -1.7047412992250686, -1.1699225655601457]","[0.857071139982713, -1.6880680149587728, 0.00833962962240408]","[0.4365473028652972, -2.1067000179567383, 1.119415201017549]","[2.200527571531281, -1.1976017684188496, -0.10935543625818958]","[3.090708281956434, -1.0958236894467908, 1.0287388333694905]","[4.386845384192292, -0.5233903296942092, 0.4878284627655286]","[4.091319817844117, -0.018430326181580782, -0.92532212113909]","[2.7584664239420866, -0.6294380081038746, -1.3245338401747755]","[2.980589561123529, -1.6880942500018903, -2.3564455839295295]","[2.6101755033199034, -1.449251933134195, -3.6727041492634664]","[3.5369083207268464, -2.7752774366610162, -2.0527328750178007]","[4.947733718514176, 0.5625826754560951, 1.4046743405322328]","[6.400874311295666, 0.8863272232557835, 1.0262272896102331]","[6.830985395345734, 2.3072178059776522, 1.4069457729385857]","[6.114111398917995, 2.7849565688611992, 2.666080658136615]","[4.5955518387202146, 2.849800145767119, 2.449648516623352]","[4.07416902006761, 1.8222038242501843, 1.4337771379869024]","[-0.39345193850061305, 2.753468625001926, 0.5225474703392489]","[-1.3577753277642277, 3.8132869320723928, 1.0086876929752757]","[1.0255823208440915, 3.2978969503379143, 0.5401786085627415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01212,"[-0.013597219331129465, 0.5206521840071984, -1.4113652965587766]","[-0.5498057849817718, 1.689276640816042, -0.08578252636652751]","[-0.23508106414520757, 0.6332317232761241, 1.3879531768495421]","[1.082027374642733, -0.09835402874451321, 1.3665208668065083]","[1.93867169632932, -0.021771834248976416, 2.5896215768887436]","[2.8008805511494965, 1.5806981789748766, 2.676410907323978]","[4.124722944071282, 1.0481237115045492, 1.5822306592627147]","[5.144970158784628, 0.3155415722011851, 2.098536489086196]","[6.152337709851393, -0.12798637443912766, 1.3073157118415426]","[7.087571314023148, -0.8102707832669207, 1.8038149661424479]","[6.133934013330857, 0.17936399469544648, -0.0530705016496298]","[7.048289216993148, -0.2180417800442582, -0.8228846838673145]","[5.109543175511758, 0.9227387446721284, -0.5407811394266534]","[4.124778383641823, 1.3546777697414145, 0.2492519328597382]","[3.0727697107919836, 2.166582179587668, -0.3406458119906546]","[1.3940080250507207, -0.8547620548114112, 0.2995074363189689]","[0.6045589614041751, -0.6600700189447848, -0.8661476078844803]","[-0.29501823738062727, -1.4813356518415346, -1.7053968272425404]","[-0.4395552689492244, -2.713549070786042, -1.917160947159882]","[-1.0063945965989156, -0.2326771291568793, -2.143790771256679]","[-2.369652517469058, -0.1292264747819653, -1.6020813613642029]","[-2.904718208013648, -0.6861254787520389, -0.388745584415418]","[-2.2061206311527624, -1.4587827134660076, 0.3207098284222084]","[-4.292599429152977, -0.3555588512538075, 0.025648506511118795]","[-4.996056138014959, -1.1859473402722323, 0.7386956890458848]","[-4.528608775884087, -2.4189873579782004, 1.1343237668516066]","[-5.349474966077189, -3.2713713384024183, 1.9109774221123546]","[-4.91898801355359, 0.9298054250572122, -0.3572138629223619]","[-4.210026493791486, 2.0006885129279213, -0.9150717908322561]","[-5.310399641423415, 3.2546925855454236, -1.1554461731858099]","[-6.605471478260092, 2.3922187671578334, -0.5433869423470223]","[-7.932798112531754, 2.8922525776048316, -0.4394387852194946]","[-6.246604537592712, 1.1571272965560497, -0.1476054593203388]","[2.52377228792204, -1.809596947548327, 0.2495207070467904]","[3.194570460316487, -2.203096902489398, 1.4013340935210805]","[2.873565130479553, -2.3001597330967716, -0.8559825770197139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00398,"[11.167030655256154, 0.6029449103265231, 0.9935052133383231]","[9.752454942263288, 0.30247229144963533, 1.1352872817312243]","[8.826661267515517, 0.490649873989827, 0.06302315707934969]","[9.228914580775934, 0.9285012974026852, -1.0496436131047948]","[7.4043110132769066, 0.17222447089536227, 0.2620637851544221]","[6.974341407449625, -0.29106067517700224, 1.468207308052854]","[5.669462511037885, -0.5983030764632661, 1.6925630767652102]","[4.729026859898291, -0.44193502236958343, 0.6735446953011024]","[5.135427958225138, 0.03813494348450171, -0.5792581022027191]","[4.248300388792707, 0.20460293506976782, -1.6556620755483737]","[2.845122353454862, 0.148428184495448, -1.6176406803665682]","[2.1167617402994643, 0.14315047839783984, -0.41758697213930684]","[0.7202770201880678, 0.10048099835165328, -0.4362794307246643]","[0.028954855891022094, 0.06616449153153581, -1.6555906756144652]","[-1.40320065286441, 0.018106776123122198, -1.717196931520126]","[-2.3113113757907824, -0.01511666999480354, -0.6089467410884983]","[-1.8809985269693952, -0.0009035662817567518, 0.575518342597649]","[-3.7187116396403863, -0.0648412384865945, -0.8749095795109599]","[-4.7767387346927865, -0.11461465511136304, 0.09221744107216978]","[-6.098372477229105, -0.15785475360132228, -0.3597393817062278]","[-7.173542208397229, -0.20859515767555714, 0.541489231378162]","[-6.90281036101046, -0.21584399321623457, 1.9277905260577417]","[-8.182827820793767, -0.2785534076678947, 3.1316718473708245]","[-5.580998393845106, -0.17324252918804522, 2.3799192677947354]","[-4.524388920746355, -0.1228724367663347, 1.4698030048474875]","[-8.58482242224679, -0.2570227832709343, 0.012552089086262434]","[-8.5992102207928, -0.24161800804783845, -1.372733131580273]","[-9.292725088967993, 0.8393635872274264, 0.47071441618613546]","[-9.205238417763589, -1.4151737285647934, 0.444852169894711]","[0.7536571598710374, 0.07947689878712631, -2.850973634476734]","[2.1507978450750387, 0.12218575534750896, -2.83157300044585]","[6.484394702477366, 0.3406638090043361, -0.7809059814148189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00709,"[4.688754015818807, 0.5823557181168053, -0.3157165781023773]","[3.3237288438531, 0.22458362374869417, -0.1388626053947984]","[2.3615759460233665, 0.8296560457004357, -0.880656249096004]","[1.0502624846638315, 0.5052722293939043, -0.7303089823500849]","[0.1868122620311478, 1.0889529349908829, -1.4394776090450652]","[0.680223064129476, -0.4478961205672377, 0.18421534213223523]","[1.6263157672130852, -1.0696480115208638, 0.9387203017057882]","[2.973640275874523, -0.7464274862275181, 0.7942040487941131]","[-0.7125689483994013, -0.843554905429484, 0.392549038671461]","[-1.2704315655537417, -1.5469885688993692, -0.8267630556906727]","[-3.0527691408100415, -1.2855744131125955, -0.7788279964884692]","[-2.822419021882755, -0.20944698006419626, 0.666515419810828]","[-3.795144758964379, 0.9517700674489544, 0.5935721068739837]","[-3.7314989578595497, 1.6972961460669422, 1.7706223708287225]","[-1.506480266136656, 0.26964972035440726, 0.690341537342998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
