Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.6897,0.6704,0.5477,0.5736,0.5686,0.6142,0.5422,0.5505,0.5754,0.653,0.6128,0.8024,0.5486,0.5874,0.5486,0.5874
2,0.6639,0.6508,0.5886,0.6126,0.625,0.6601,0.5752,0.5848,0.6221,0.6672,0.6773,0.7767,0.598,0.6288,0.598,0.6289
3,0.6461,0.6364,0.6174,0.6288,0.6621,0.6896,0.6023,0.5939,0.6436,0.6871,0.691,0.8152,0.6316,0.6547,0.6317,0.6548
4,0.6315,0.6168,0.6346,0.6572,0.6865,0.7158,0.6173,0.6202,0.6597,0.703,0.7083,0.8112,0.6542,0.6832,0.6543,0.6833
5,0.6179,0.6045,0.6513,0.6698,0.7071,0.7307,0.6331,0.6363,0.6737,0.706,0.7199,0.7928,0.6756,0.6968,0.6757,0.6969
6,0.6031,0.5827,0.6667,0.687,0.7278,0.7532,0.6476,0.6609,0.687,0.7105,0.7314,0.7681,0.696,0.721,0.6961,0.7211
7,0.588,0.5738,0.6816,0.6952,0.7452,0.7625,0.6602,0.6629,0.7016,0.7227,0.7487,0.7944,0.7137,0.7297,0.7137,0.7298
8,0.5737,0.5531,0.6958,0.7139,0.7618,0.7896,0.6728,0.6687,0.7149,0.7478,0.7626,0.8482,0.7304,0.7606,0.7304,0.7607
9,0.5613,0.5506,0.706,0.7178,0.7748,0.7884,0.6828,0.6805,0.7235,0.7442,0.7694,0.821,0.7443,0.7567,0.7443,0.7568
10,0.5466,0.5268,0.7194,0.7353,0.79,0.8095,0.6949,0.699,0.7361,0.7574,0.7825,0.8265,0.7601,0.7789,0.7601,0.7789
11,0.5336,0.5085,0.7292,0.7491,0.8017,0.8244,0.7049,0.7291,0.7444,0.7596,0.7887,0.7928,0.7731,0.797,0.7731,0.797
12,0.5231,0.5023,0.7369,0.755,0.8112,0.8306,0.7116,0.7353,0.7517,0.7648,0.7966,0.7968,0.7818,0.8029,0.7818,0.803
13,0.5102,0.4902,0.7463,0.7637,0.8218,0.8411,0.7204,0.7249,0.7605,0.7825,0.8053,0.85,0.7929,0.8126,0.7929,0.8127
14,0.5015,0.4835,0.7548,0.7685,0.8293,0.8441,0.7283,0.736,0.7683,0.7833,0.8129,0.8371,0.8016,0.819,0.8016,0.819
15,0.4933,0.4739,0.7606,0.7768,0.8353,0.8526,0.7341,0.7328,0.7735,0.7961,0.8173,0.8715,0.8062,0.8247,0.8062,0.8248
16,0.4855,0.4649,0.7663,0.7807,0.8418,0.8572,0.7388,0.7584,0.779,0.7898,0.8238,0.8239,0.8136,0.8289,0.8136,0.8289
17,0.4787,0.4524,0.7712,0.7894,0.8464,0.8651,0.7441,0.773,0.7833,0.7955,0.8268,0.8194,0.8181,0.8366,0.8181,0.8366
18,0.4704,0.449,0.7768,0.7906,0.8522,0.8668,0.7487,0.7526,0.7887,0.8053,0.8331,0.8658,0.8242,0.8407,0.8242,0.8408
19,0.4645,0.4472,0.781,0.7936,0.856,0.8699,0.7529,0.7715,0.7925,0.8017,0.8366,0.8343,0.8277,0.8438,0.8277,0.8439
20,0.4597,0.442,0.7839,0.795,0.8593,0.8736,0.7559,0.7471,0.7951,0.8131,0.8387,0.8918,0.8317,0.8478,0.8317,0.8478
21,0.4528,0.4351,0.7876,0.8004,0.8643,0.8764,0.7593,0.7739,0.7986,0.8097,0.8422,0.8489,0.8372,0.8503,0.8372,0.8504
22,0.4498,0.4243,0.7904,0.8064,0.8661,0.8821,0.7618,0.7751,0.8012,0.8169,0.845,0.8633,0.839,0.8572,0.839,0.8572
23,0.4447,0.4252,0.7937,0.8079,0.8692,0.8838,0.7648,0.7597,0.8043,0.8242,0.8482,0.9007,0.8423,0.8569,0.8423,0.8569
24,0.4414,0.4161,0.7957,0.8141,0.8711,0.8873,0.7673,0.7761,0.806,0.8261,0.8489,0.8831,0.8444,0.8612,0.8444,0.8612
25,0.4354,0.4121,0.7991,0.8161,0.8747,0.8884,0.77,0.7886,0.8094,0.8245,0.8529,0.8638,0.848,0.8629,0.848,0.8629
26,0.4349,0.412,0.8001,0.8158,0.8751,0.8904,0.7715,0.7822,0.8101,0.8261,0.8527,0.8753,0.8487,0.8649,0.8487,0.865
27,0.4295,0.4071,0.8028,0.818,0.8785,0.8923,0.7739,0.7818,0.8127,0.8289,0.8555,0.8821,0.8525,0.8666,0.8525,0.8667
28,0.4276,0.4159,0.8042,0.8156,0.8794,0.8893,0.7754,0.7795,0.8139,0.8268,0.8565,0.8803,0.8548,0.8629,0.8548,0.863
29,0.4229,0.4105,0.807,0.8195,0.8822,0.8931,0.7781,0.7775,0.8165,0.8321,0.8589,0.895,0.8567,0.868,0.8567,0.8681
30,0.4206,0.4038,0.8091,0.8204,0.8839,0.896,0.7804,0.7757,0.8184,0.8339,0.8604,0.9015,0.8577,0.8707,0.8577,0.8708
31,0.4175,0.4028,0.8112,0.8215,0.8853,0.8968,0.7816,0.7763,0.8207,0.835,0.8639,0.9034,0.8591,0.8707,0.8591,0.8708
32,0.4149,0.3904,0.8121,0.8268,0.8871,0.9012,0.783,0.7867,0.8212,0.8381,0.8633,0.8966,0.8622,0.8757,0.8622,0.8758
33,0.4125,0.3983,0.8145,0.8284,0.8879,0.8995,0.7847,0.7989,0.8237,0.8364,0.8669,0.8777,0.8628,0.8747,0.8628,0.8747
34,0.4103,0.3928,0.8156,0.8283,0.8894,0.9005,0.7857,0.7957,0.8247,0.8372,0.8679,0.8833,0.8637,0.8738,0.8638,0.8738
35,0.4084,0.3893,0.8169,0.8281,0.8903,0.9018,0.787,0.7951,0.8259,0.8372,0.869,0.884,0.8642,0.8766,0.8642,0.8766
36,0.4059,0.3883,0.8176,0.8306,0.8918,0.9037,0.7877,0.8067,0.8267,0.837,0.8696,0.8696,0.8672,0.8786,0.8672,0.8786
37,0.4038,0.3809,0.818,0.833,0.8928,0.9053,0.7887,0.807,0.8268,0.8398,0.8686,0.8755,0.8686,0.8801,0.8686,0.8801
38,0.4023,0.3906,0.8207,0.8295,0.8937,0.9022,0.7911,0.8011,0.8294,0.8372,0.8714,0.8767,0.8691,0.8777,0.8691,0.8777
39,0.4011,0.3788,0.8203,0.8358,0.8942,0.9071,0.7905,0.8037,0.829,0.844,0.8714,0.8885,0.8701,0.8819,0.8701,0.8819
