Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7501,0.6933,0.5022,0.5,0.5042,0.5606,0.5022,0.0,0.5015,0.0,0.5008,0.0,0.5029,0.5504,0.503,0.5509
2,0.6887,0.6881,0.5372,0.557,0.5537,0.5702,0.5372,0.5811,0.5372,0.4795,0.5371,0.4081,0.5488,0.5665,0.5488,0.5668
3,0.6837,0.6847,0.5615,0.5737,0.5805,0.5926,0.5611,0.6033,0.5631,0.5024,0.5651,0.4304,0.5726,0.5929,0.5726,0.5931
4,0.6771,0.6728,0.5748,0.5885,0.6033,0.617,0.573,0.587,0.58,0.5918,0.5873,0.5967,0.5914,0.6084,0.5915,0.6087
5,0.6689,0.6612,0.5917,0.5933,0.6245,0.6387,0.5887,0.5871,0.5985,0.6074,0.6087,0.6292,0.6022,0.6212,0.6022,0.6214
6,0.6547,0.6514,0.6075,0.6112,0.6496,0.6671,0.5935,0.6273,0.6347,0.5851,0.6819,0.5482,0.6201,0.6391,0.6202,0.6394
7,0.644,0.645,0.619,0.6103,0.6674,0.683,0.6019,0.6476,0.6486,0.5538,0.7031,0.4838,0.6348,0.6565,0.6348,0.6568
8,0.6334,0.6312,0.6334,0.6338,0.6845,0.691,0.6163,0.6131,0.6584,0.6644,0.7068,0.7252,0.6504,0.6686,0.6505,0.6688
9,0.6259,0.6256,0.6419,0.6466,0.6958,0.7029,0.6215,0.6456,0.6697,0.6478,0.726,0.65,0.6647,0.6794,0.6647,0.6798
10,0.6126,0.6251,0.6557,0.6459,0.7134,0.7216,0.6364,0.6009,0.6784,0.7104,0.7264,0.8686,0.6822,0.6987,0.6823,0.6989
11,0.595,0.5929,0.6716,0.6803,0.7381,0.7459,0.6515,0.6647,0.692,0.6947,0.7378,0.7276,0.712,0.719,0.712,0.7193
12,0.5883,0.6155,0.6814,0.6699,0.7465,0.7407,0.6623,0.6921,0.699,0.6497,0.7401,0.6122,0.7169,0.7107,0.7169,0.7111
13,0.575,0.5721,0.696,0.7065,0.7627,0.7706,0.6766,0.6976,0.7118,0.713,0.7508,0.729,0.7339,0.7432,0.734,0.7434
14,0.5659,0.5682,0.6987,0.7089,0.7712,0.7739,0.6798,0.6842,0.7137,0.7272,0.7512,0.7761,0.7455,0.7516,0.7455,0.752
15,0.5533,0.57,0.7131,0.7053,0.7843,0.7727,0.6924,0.6858,0.7278,0.7199,0.767,0.7576,0.7566,0.7484,0.7566,0.7487
16,0.5432,0.5604,0.7208,0.7046,0.7948,0.7816,0.7006,0.7006,0.7341,0.7075,0.7709,0.7145,0.7701,0.7579,0.7701,0.7583
17,0.5403,0.545,0.7218,0.7288,0.7975,0.797,0.7012,0.7056,0.7353,0.7433,0.7729,0.7853,0.7692,0.7642,0.7692,0.7646
18,0.5289,0.5399,0.7323,0.7281,0.8072,0.803,0.7116,0.7147,0.7448,0.7362,0.7813,0.7591,0.7794,0.7741,0.7794,0.7745
19,0.5164,0.529,0.7407,0.737,0.8189,0.8204,0.7185,0.6882,0.7532,0.7672,0.7914,0.8667,0.7918,0.7919,0.7919,0.7922
20,0.5094,0.526,0.7464,0.7448,0.8245,0.8188,0.7249,0.7002,0.758,0.7703,0.7942,0.856,0.7962,0.7885,0.7962,0.7889
21,0.499,0.5149,0.7526,0.7494,0.8314,0.8313,0.7313,0.7006,0.7635,0.7766,0.7987,0.8711,0.8058,0.8046,0.8059,0.8049
22,0.4947,0.5093,0.7562,0.7521,0.8362,0.8273,0.7345,0.7423,0.7669,0.7569,0.8024,0.7722,0.8134,0.7961,0.8135,0.7965
23,0.487,0.5064,0.7618,0.7501,0.841,0.8313,0.7401,0.7136,0.7722,0.7698,0.8071,0.8357,0.8161,0.8045,0.8162,0.8047
24,0.4792,0.493,0.7705,0.7656,0.8475,0.8386,0.747,0.7436,0.7809,0.7758,0.818,0.811,0.8237,0.8139,0.8238,0.8142
25,0.4732,0.4861,0.7714,0.7714,0.852,0.846,0.7485,0.7349,0.7814,0.7879,0.8174,0.8492,0.8288,0.8136,0.8288,0.814
26,0.4693,0.4853,0.7773,0.7642,0.8549,0.8466,0.756,0.7245,0.7861,0.7833,0.8187,0.8526,0.8298,0.8181,0.8298,0.8185
27,0.4656,0.486,0.7809,0.7727,0.8572,0.8482,0.7558,0.7688,0.7911,0.7743,0.8299,0.7799,0.8334,0.8142,0.8335,0.8146
28,0.4603,0.4869,0.7793,0.7714,0.86,0.8476,0.7555,0.7711,0.7891,0.7716,0.8259,0.7722,0.8369,0.8184,0.8369,0.8188
29,0.4533,0.4763,0.7858,0.7763,0.865,0.8526,0.7631,0.7591,0.7947,0.7835,0.8289,0.8095,0.8435,0.8234,0.8436,0.8237
30,0.4504,0.4703,0.7881,0.7872,0.8666,0.8581,0.7625,0.7611,0.7979,0.7973,0.8367,0.8371,0.8429,0.8286,0.8429,0.8288
31,0.443,0.4711,0.7932,0.7836,0.8714,0.8619,0.7701,0.7342,0.8016,0.8042,0.8358,0.889,0.8484,0.8295,0.8484,0.8299
32,0.4376,0.4595,0.7938,0.7872,0.875,0.8649,0.77,0.7577,0.8026,0.7987,0.838,0.8444,0.8548,0.8367,0.8548,0.837
33,0.4346,0.4618,0.7977,0.7843,0.8771,0.8645,0.7735,0.7488,0.8062,0.7986,0.8419,0.8556,0.856,0.8331,0.856,0.8334
34,0.4278,0.4553,0.7996,0.7945,0.8802,0.869,0.775,0.7638,0.8081,0.8058,0.8443,0.8526,0.8607,0.8425,0.8607,0.8428
35,0.4277,0.4533,0.8018,0.7872,0.8806,0.8716,0.7769,0.7462,0.8104,0.8036,0.847,0.8706,0.8623,0.8513,0.8624,0.8516
36,0.4187,0.4552,0.8067,0.7928,0.8858,0.8708,0.783,0.7588,0.8144,0.8055,0.8484,0.8585,0.8658,0.8388,0.8658,0.8392
37,0.4156,0.452,0.808,0.7998,0.8873,0.8719,0.7832,0.7745,0.8161,0.8086,0.8518,0.8459,0.8678,0.842,0.8678,0.8423
38,0.4114,0.442,0.8107,0.8027,0.8907,0.8779,0.7862,0.7789,0.8185,0.8108,0.8535,0.8454,0.8709,0.85,0.8709,0.8503
39,0.4136,0.4452,0.8103,0.7969,0.8894,0.8777,0.7842,0.7768,0.8187,0.804,0.8563,0.8333,0.8701,0.8537,0.8701,0.854
40,0.4026,0.4427,0.8163,0.8013,0.8952,0.8826,0.7909,0.7941,0.824,0.8036,0.8599,0.8134,0.8765,0.8575,0.8765,0.8579
41,0.3953,0.4481,0.8224,0.7901,0.8996,0.8796,0.7979,0.8037,0.8293,0.7853,0.8633,0.7678,0.8812,0.8567,0.8812,0.8568
42,0.3955,0.4298,0.8204,0.8097,0.8989,0.8868,0.7951,0.7793,0.8278,0.8196,0.8633,0.8643,0.8801,0.8651,0.8802,0.8654
43,0.3921,0.4276,0.8229,0.8122,0.901,0.8882,0.7971,0.8067,0.8303,0.8138,0.8664,0.8211,0.8834,0.8634,0.8834,0.8636
44,0.3894,0.4327,0.8218,0.8107,0.9024,0.8838,0.7976,0.7973,0.8288,0.8149,0.8625,0.8333,0.8866,0.861,0.8866,0.8611
45,0.3877,0.4201,0.8256,0.8163,0.9026,0.8935,0.8023,0.8003,0.832,0.8211,0.864,0.8429,0.8861,0.8708,0.8861,0.8711
46,0.3792,0.4182,0.8304,0.8168,0.9078,0.892,0.8067,0.7921,0.8367,0.8242,0.8691,0.8589,0.8917,0.8672,0.8917,0.8674
47,0.3775,0.4087,0.8308,0.8216,0.9085,0.8989,0.8054,0.7766,0.8376,0.8351,0.8725,0.9031,0.8918,0.8779,0.8918,0.8782
48,0.3722,0.4185,0.8333,0.8175,0.9109,0.8966,0.8089,0.7792,0.8396,0.8292,0.8727,0.8861,0.8959,0.8751,0.8959,0.8754
49,0.3701,0.4237,0.8355,0.8141,0.9123,0.8961,0.8099,0.772,0.842,0.8274,0.8768,0.8914,0.8991,0.8754,0.8991,0.8757
50,0.3687,0.4062,0.8356,0.8284,0.9127,0.9025,0.8122,0.8228,0.8416,0.8299,0.8732,0.8371,0.8981,0.8823,0.8982,0.8825
51,0.3641,0.4047,0.839,0.8216,0.9151,0.9009,0.8144,0.8073,0.8451,0.8257,0.8782,0.8449,0.9005,0.8798,0.9005,0.88
52,0.3553,0.4153,0.8423,0.8219,0.9192,0.8985,0.8185,0.8252,0.848,0.821,0.8796,0.8168,0.9056,0.8762,0.9056,0.8763
53,0.3578,0.4136,0.8418,0.8231,0.9187,0.8992,0.819,0.8039,0.8472,0.8285,0.8775,0.8546,0.9047,0.8747,0.9047,0.8749
54,0.3528,0.4208,0.8455,0.8257,0.9206,0.8989,0.822,0.8046,0.851,0.8316,0.8821,0.8604,0.9055,0.8783,0.9055,0.8785
55,0.3505,0.4091,0.8466,0.8262,0.9219,0.9011,0.8231,0.8122,0.852,0.8301,0.883,0.8488,0.9089,0.8783,0.9089,0.8784
56,0.3458,0.4027,0.8477,0.8294,0.9239,0.9049,0.8247,0.8093,0.8529,0.8347,0.8831,0.8619,0.9126,0.8839,0.9126,0.8841
57,0.3447,0.4044,0.849,0.8354,0.9243,0.9071,0.826,0.8014,0.8541,0.8442,0.8843,0.8919,0.9122,0.8901,0.9122,0.8902
58,0.3417,0.403,0.8485,0.8318,0.9258,0.9049,0.8251,0.8038,0.8537,0.8392,0.8845,0.8778,0.9157,0.885,0.9157,0.8852
59,0.3341,0.4123,0.8528,0.8284,0.9288,0.9029,0.8298,0.7968,0.8578,0.8371,0.8877,0.8817,0.9185,0.8835,0.9185,0.8836
60,0.3319,0.4045,0.8559,0.8345,0.93,0.9087,0.8323,0.7906,0.8608,0.8461,0.8914,0.9098,0.9181,0.8908,0.9181,0.8909
61,0.333,0.4049,0.856,0.8306,0.9296,0.9059,0.8324,0.8154,0.8609,0.8346,0.8915,0.8546,0.9183,0.8895,0.9183,0.8896
62,0.3288,0.402,0.8572,0.8359,0.9313,0.9107,0.833,0.826,0.8622,0.8384,0.8936,0.8512,0.9208,0.8907,0.9208,0.8908
63,0.3279,0.3973,0.8562,0.8429,0.9317,0.9128,0.8327,0.8364,0.8611,0.8445,0.8914,0.8526,0.921,0.8949,0.921,0.8949
64,0.3205,0.3982,0.8616,0.842,0.9347,0.9132,0.8372,0.8453,0.8664,0.8412,0.8978,0.8371,0.9244,0.8977,0.9244,0.8978
65,0.3209,0.3894,0.8609,0.8364,0.9349,0.9125,0.8387,0.8017,0.8653,0.8453,0.8937,0.8938,0.9266,0.8966,0.9266,0.8967
66,0.3178,0.4024,0.8639,0.8335,0.9359,0.9128,0.8409,0.8136,0.8684,0.8386,0.8976,0.8652,0.9257,0.896,0.9257,0.8961
67,0.3161,0.3869,0.8623,0.84,0.9367,0.9149,0.8397,0.8211,0.8667,0.8446,0.8955,0.8696,0.9266,0.9017,0.9266,0.9018
68,0.3116,0.387,0.8653,0.8422,0.9385,0.9174,0.843,0.804,0.8695,0.8515,0.8978,0.905,0.9292,0.9014,0.9292,0.9015
69,0.3108,0.3776,0.8674,0.849,0.939,0.9181,0.8464,0.8194,0.8714,0.8557,0.8978,0.8953,0.9299,0.9035,0.9299,0.9036
70,0.3036,0.3794,0.8704,0.8463,0.9416,0.9191,0.8485,0.8197,0.8743,0.8525,0.9017,0.888,0.9329,0.9029,0.9329,0.9029
71,0.2773,0.3656,0.8824,0.8577,0.9517,0.9268,0.8612,0.826,0.8858,0.8643,0.9118,0.9064,0.945,0.9151,0.945,0.9151
72,0.2679,0.3535,0.8859,0.864,0.9546,0.9302,0.8643,0.8398,0.8892,0.8687,0.9155,0.8997,0.9484,0.9167,0.9484,0.9168
73,0.2604,0.3587,0.8913,0.8585,0.9575,0.9286,0.8694,0.8397,0.8945,0.8623,0.9211,0.8861,0.9513,0.9157,0.9513,0.9157
74,0.2567,0.3717,0.8941,0.8655,0.958,0.9281,0.8727,0.8465,0.8971,0.8691,0.9228,0.8929,0.9517,0.9155,0.9517,0.9156
75,0.2519,0.3648,0.8946,0.8623,0.96,0.9301,0.8727,0.8534,0.8976,0.864,0.924,0.8749,0.954,0.9175,0.954,0.9175
76,0.2529,0.3775,0.8944,0.8582,0.9595,0.9276,0.8749,0.8519,0.897,0.8595,0.9203,0.8672,0.9537,0.9132,0.9538,0.9133
77,0.2514,0.3821,0.8957,0.8543,0.96,0.9281,0.8768,0.8249,0.8983,0.8607,0.9208,0.8997,0.9542,0.9163,0.9542,0.9163
78,0.2457,0.3659,0.8992,0.8662,0.9614,0.9279,0.8786,0.8448,0.9018,0.8702,0.9264,0.8972,0.955,0.9137,0.955,0.9137
79,0.2432,0.3766,0.8983,0.8604,0.9629,0.9284,0.8767,0.8532,0.9011,0.8618,0.927,0.8706,0.9588,0.9146,0.9588,0.9146
80,0.2389,0.3733,0.9003,0.8643,0.9639,0.9295,0.8817,0.8446,0.9027,0.868,0.9248,0.8929,0.9591,0.9172,0.9591,0.9172
81,0.2359,0.378,0.9026,0.8575,0.965,0.9292,0.8835,0.8477,0.905,0.8595,0.9275,0.8715,0.9608,0.9164,0.9608,0.9164
