Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7067,0.6936,0.51,0.5076,0.5141,0.5508,0.5099,0.6154,0.5118,0.0761,0.5137,0.0406,0.5097,0.5431,0.5097,0.5434
2,0.6901,0.6856,0.5316,0.5494,0.5457,0.5814,0.5313,0.5343,0.5344,0.6309,0.5376,0.7701,0.5381,0.5602,0.5381,0.5604
3,0.6853,0.674,0.5462,0.5699,0.5698,0.6208,0.5453,0.6075,0.5511,0.4786,0.557,0.3948,0.5567,0.5934,0.5567,0.5935
4,0.6763,0.6684,0.5692,0.5812,0.6001,0.6317,0.5652,0.6133,0.5819,0.5121,0.5995,0.4395,0.5794,0.6106,0.5794,0.6107
5,0.6627,0.6525,0.5963,0.6127,0.6355,0.6613,0.5898,0.5926,0.6102,0.6506,0.632,0.7212,0.6133,0.6301,0.6134,0.6302
6,0.6495,0.6383,0.6192,0.636,0.6634,0.6865,0.611,0.6108,0.6328,0.6731,0.6562,0.7496,0.636,0.6512,0.6361,0.6514
7,0.6371,0.6664,0.6345,0.617,0.6851,0.7124,0.6241,0.5739,0.6491,0.7037,0.6761,0.9094,0.6562,0.6776,0.6562,0.6778
8,0.6254,0.6066,0.6492,0.6664,0.7034,0.7444,0.637,0.6218,0.6641,0.718,0.6935,0.8495,0.6761,0.7138,0.6761,0.7139
9,0.6037,0.6426,0.672,0.6354,0.7338,0.7562,0.659,0.7727,0.6848,0.5128,0.7127,0.3837,0.7025,0.7313,0.7025,0.7314
10,0.5863,0.6059,0.6899,0.6823,0.7539,0.7916,0.6756,0.6231,0.702,0.7439,0.7306,0.9229,0.7223,0.7543,0.7223,0.7545
11,0.5674,0.5458,0.707,0.7264,0.7741,0.7999,0.6899,0.6842,0.7196,0.7545,0.7521,0.8409,0.7443,0.7685,0.7444,0.7685
12,0.5527,0.5348,0.7198,0.7334,0.7886,0.805,0.7023,0.7211,0.7314,0.7406,0.7631,0.7613,0.7581,0.7685,0.7582,0.7687
13,0.5387,0.515,0.7311,0.7541,0.8019,0.824,0.7132,0.7418,0.7419,0.7602,0.7729,0.7796,0.77,0.7899,0.77,0.7901
14,0.5253,0.5133,0.7396,0.7518,0.8128,0.8269,0.7211,0.7094,0.7501,0.7747,0.7816,0.8532,0.7814,0.7866,0.7814,0.7868
15,0.5245,0.5008,0.7404,0.7578,0.814,0.8386,0.7224,0.7162,0.7505,0.779,0.7808,0.8539,0.7852,0.8048,0.7853,0.8049
16,0.5108,0.4966,0.7509,0.7612,0.8249,0.8356,0.7306,0.7532,0.7614,0.7649,0.795,0.7769,0.7927,0.8022,0.7927,0.8023
17,0.5049,0.4872,0.7549,0.776,0.8287,0.847,0.7349,0.7827,0.7649,0.7732,0.7975,0.7639,0.7983,0.8103,0.7983,0.8104
18,0.5065,0.4841,0.7538,0.77,0.8274,0.8487,0.734,0.7276,0.7638,0.7896,0.7961,0.8631,0.7941,0.8124,0.7941,0.8125
19,0.4988,0.4747,0.7602,0.7775,0.8332,0.8513,0.7388,0.755,0.7705,0.7869,0.8052,0.8217,0.8001,0.8164,0.8001,0.8165
20,0.4911,0.4779,0.7618,0.7717,0.8383,0.8515,0.7399,0.73,0.7722,0.7906,0.8074,0.8622,0.8074,0.8148,0.8074,0.8149
21,0.4888,0.4907,0.7653,0.7635,0.8405,0.8487,0.7434,0.7148,0.7754,0.7876,0.8103,0.8768,0.8093,0.8145,0.8093,0.8146
22,0.4988,0.4756,0.7583,0.7764,0.8332,0.8495,0.7369,0.7444,0.7688,0.7901,0.8036,0.8417,0.8041,0.8127,0.8041,0.8127
23,0.49,0.4757,0.763,0.776,0.8399,0.8564,0.7426,0.7257,0.7725,0.7984,0.8048,0.8872,0.8097,0.8179,0.8097,0.818
24,0.4779,0.4599,0.7715,0.7839,0.8479,0.8598,0.7495,0.762,0.7812,0.7926,0.8158,0.8257,0.8171,0.8259,0.8171,0.8259
25,0.4806,0.4577,0.7714,0.7852,0.8457,0.8656,0.7496,0.7917,0.7809,0.7828,0.815,0.7741,0.816,0.8296,0.816,0.8297
26,0.4732,0.469,0.7765,0.7785,0.851,0.8684,0.7538,0.7187,0.7861,0.8051,0.8212,0.9151,0.818,0.8348,0.818,0.8349
27,0.4762,0.4679,0.7726,0.7736,0.8494,0.861,0.7499,0.7236,0.7825,0.7964,0.818,0.8856,0.8193,0.8266,0.8193,0.8266
28,0.471,0.465,0.7771,0.7855,0.853,0.8601,0.7534,0.7895,0.787,0.7841,0.8236,0.7787,0.8228,0.8247,0.8228,0.8248
29,0.4746,0.4529,0.7753,0.7914,0.8508,0.8655,0.7527,0.7666,0.7849,0.8006,0.8201,0.8378,0.8218,0.8307,0.8218,0.8308
30,0.4685,0.4512,0.7776,0.789,0.8541,0.8671,0.7542,0.7475,0.7874,0.8052,0.8238,0.8726,0.8239,0.8314,0.8239,0.8315
31,0.4756,0.4517,0.7726,0.7888,0.8489,0.8705,0.7495,0.7394,0.7827,0.8086,0.8191,0.8922,0.8182,0.8366,0.8182,0.8367
32,0.4663,0.4589,0.7781,0.7849,0.8555,0.8675,0.7523,0.7348,0.7888,0.8056,0.8291,0.8916,0.825,0.8311,0.825,0.8312
33,0.4588,0.4474,0.7842,0.7941,0.8606,0.8679,0.7596,0.7674,0.7939,0.8039,0.8315,0.8442,0.8297,0.8334,0.8297,0.8335
34,0.4684,0.4716,0.7764,0.7744,0.8542,0.8667,0.7523,0.712,0.7866,0.8033,0.8241,0.9215,0.825,0.8324,0.825,0.8325
35,0.4611,0.4423,0.7816,0.7976,0.8586,0.8725,0.7567,0.7795,0.7918,0.8039,0.8302,0.8298,0.828,0.8381,0.828,0.8381
36,0.4589,0.443,0.7838,0.7965,0.8598,0.8719,0.759,0.7621,0.7937,0.809,0.8318,0.862,0.8292,0.8372,0.8292,0.8373
37,0.4601,0.4416,0.7828,0.7969,0.8593,0.873,0.7587,0.754,0.7924,0.8127,0.8293,0.8814,0.8299,0.8401,0.83,0.8402
38,0.4581,0.4352,0.7845,0.8005,0.8612,0.8738,0.7596,0.7705,0.7944,0.811,0.8325,0.8561,0.8315,0.8386,0.8315,0.8386
39,0.4533,0.4535,0.7879,0.7908,0.864,0.8673,0.7634,0.7939,0.7974,0.7897,0.8346,0.7855,0.8338,0.8317,0.8338,0.8318
40,0.4666,0.4444,0.7786,0.794,0.8552,0.8693,0.7558,0.7687,0.788,0.8033,0.8231,0.8411,0.8264,0.8351,0.8264,0.8352
41,0.4526,0.4415,0.7865,0.7913,0.8644,0.8717,0.7618,0.7547,0.7961,0.8053,0.8337,0.8631,0.8361,0.8401,0.8361,0.8402
42,0.451,0.4323,0.7894,0.8061,0.8656,0.8772,0.7635,0.7721,0.7992,0.8176,0.8384,0.8686,0.8367,0.8411,0.8367,0.8412
